# Licensed to the Apache Software Foundation (ASF) under one
# or more contributor license agreements.  See the NOTICE file
# distributed with this work for additional information
# regarding copyright ownership.  The ASF licenses this file
# to you under the Apache License, Version 2.0 (the
# "License"); you may not use this file except in compliance
# with the License.  You may obtain a copy of the License at
#
#   http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing,
# software distributed under the License is distributed on an
# "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
# KIND, either express or implied.  See the License for the
# specific language governing permissions and limitations
# under the License.
sequence	sha	parents	author_date	commit_date	kind	subject	workstream	issue	related_workstreams	files	db_files	api_files	ui_files	patch_id	reverse_check	same_subject_europa	same_subject_upstream	equivalent_upstream	dependencies	pretriage	decision	europa_sha	pr	validation	reviewed_europa_sha	source_url	notes
1	4df32ae79fb21e9f11df5c1235bc504a8e284ae7	13a2c7793c2cf37667c9817ebb87751120212897	2026-04-06T21:50:17+03:00	2026-04-17T04:53:36+05:30	commit	fix: NsxResource.executeRequest DeleteNsxNatRuleCommand comparison bug (#12833)	S6	#997		plugins/network-elements/nsx/src/main/java/org/apache/cloudstack/agent/api/DeleteNsxNatRuleCommand.java;plugins/network-elements/nsx/src/main/java/org/apache/cloudstack/resource/NsxResource.java;plugins/network-elements/nsx/src/test/java/org/apache/cloudstack/resource/NsxResourceTest.java				f7aa2c976fb3895ae0590dedc3706586ea0dc523	PASS					Reverse Patch Present Candidate	Pending			S1 static evidence only; runtime tests not run	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/4df32ae79fb21e9f11df5c1235bc504a8e284ae7	014895d8f3 clean tree reverse apply --check 성공; 기능 검증 미실행. 4월 기록043 및 Europa 7ad9fbc1f095642171c3bd359ca6d4da11e50493 확인; 기능 최종 판정은 S6.
2	6c1437b7ddd8fc590c96d1aac6f8df7709ac4625	4df32ae79fb21e9f11df5c1235bc504a8e284ae7	2026-04-17T13:56:17+02:00	2026-04-17T13:56:17+02:00	commit	fix end of file schema-42200to42210.sql	S4	#992		engine/schema/src/main/resources/META-INF/db/schema-42200to42210.sql	engine/schema/src/main/resources/META-INF/db/schema-42200to42210.sql			284b03210ec4660b20655e61daba08d023bcef77	FAIL					Source Review Required	Pending			S1 static evidence only; runtime tests not run	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/6c1437b7ddd8fc590c96d1aac6f8df7709ac4625	신규 설치 및 동일 버전 Europa DB 재실행 게이트 필요.
3	be89e6f7c3784672cd0a9f8d0a0101c670162dd2	6c1437b7ddd8fc590c96d1aac6f8df7709ac4625	2026-04-17T23:39:19-03:00	2026-04-17T23:39:19-03:00	commit	[KVM] Reorder migration logs to prevent populating agent logs on migrations (#12883)	S5A	#993		plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/resource/wrapper/LibvirtMigrateCommandWrapper.java				a8b0997e6dbfe8fc413aec89e4180aac08dbe6fe	FAIL					Source Review Required	Pending			S1 static evidence only; runtime tests not run	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/be89e6f7c3784672cd0a9f8d0a0101c670162dd2	기능 소유 이슈에서 patch/API/DB/테스트를 읽고 최종 판정.
4	64ac0822b439d71796108f0f41485b61e3b8b395	be89e6f7c3784672cd0a9f8d0a0101c670162dd2	2026-04-23T19:16:54+01:00	2026-04-23T23:46:54+05:30	commit	merge conflict fixes (#13046)	S2	#990		agent/conf/agent.properties;plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/resource/wrapper/LibvirtConvertInstanceCommandWrapper.java;server/src/main/java/org/apache/cloudstack/vm/UnmanagedVMsManagerImpl.java;server/src/test/java/org/apache/cloudstack/vm/UnmanagedVMsManagerImplTest.java				b3bbb1f1e43d8dd5ae5a27fbdf99a9a8423a57b9	FAIL					Source Review Required	Pending			S1 static evidence only; runtime tests not run	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/64ac0822b439d71796108f0f41485b61e3b8b395	기능 소유 이슈에서 patch/API/DB/테스트를 읽고 최종 판정.
5	856d83a15eeef23806c896fa4fddbec136b28613	3166e64891fc75d4d32b66d874cff3f613b09b52;64ac0822b439d71796108f0f41485b61e3b8b395	2026-04-23T23:53:24+05:30	2026-04-23T23:53:24+05:30	merge	Merge branch '4.22'	S2	#990	S5A,S6	plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/resource/wrapper/LibvirtMigrateCommandWrapper.java;server/src/main/java/org/apache/cloudstack/vm/UnmanagedVMsManagerImpl.java;server/src/test/java/org/apache/cloudstack/vm/UnmanagedVMsManagerImplTest.java										Merge Resolution Review	Pending			S1 static evidence only; runtime tests not run	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/856d83a15eeef23806c896fa4fddbec136b28613	remerge 차이 없음. 유입 4개 일반 커밋과 #12833 선반영 후보 별도 판정.
6	6f4445c5c1b510a47b12dec1b61dc41dde02979b	856d83a15eeef23806c896fa4fddbec136b28613	2026-04-27T09:36:37-03:00	2026-04-27T09:36:37-03:00	commit	Add offering preset variables for `Network` and `VPC` Quota tariffs (#11810)	S4	#992		engine/schema/src/main/resources/META-INF/cloudstack/core/spring-engine-schema-core-common-daos-between-management-and-usage-context.xml;engine/schema/src/main/resources/META-INF/cloudstack/core/spring-engine-schema-core-daos-context.xml;framework/quota/src/main/java/org/apache/cloudstack/quota/activationrule/presetvariables/PresetVariableHelper.java;framework/quota/src/main/java/org/apache/cloudstack/quota/activationrule/presetvariables/Value.java;framework/quota/src/test/java/org/apache/cloudstack/quota/activationrule/presetvariables/PresetVariableHelperTest.java				3b1ba0f928bc63d30071e563df69473525137020	FAIL					Source Review Required	Pending			S1 static evidence only; runtime tests not run	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/6f4445c5c1b510a47b12dec1b61dc41dde02979b	기능 소유 이슈에서 patch/API/DB/테스트를 읽고 최종 판정.
7	e2c13da419705bfd61b031142cbd46b69c5ccff4	6f4445c5c1b510a47b12dec1b61dc41dde02979b	2026-04-28T04:13:05-03:00	2026-04-28T09:13:05+02:00	commit	Remove UUID parse from param processing workflow (#13065)	S3	#991		api/src/main/java/org/apache/cloudstack/api/BaseCmd.java;api/src/main/java/org/apache/cloudstack/context/CallContext.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/CreateIpv4SubnetForGuestNetworkCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/CreateIpv4SubnetForZoneCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/DedicateIpv4SubnetForZoneCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/DeleteIpv4SubnetForGuestNetworkCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/DeleteIpv4SubnetForZoneCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/ReleaseDedicatedIpv4SubnetForZoneCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/UpdateIpv4SubnetForZoneCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/bgp/ChangeBgpPeersForNetworkCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/bgp/ChangeBgpPeersForVpcCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/bgp/CreateBgpPeerCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/bgp/DedicateBgpPeerCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/bgp/DeleteBgpPeerCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/bgp/ReleaseDedicatedBgpPeerCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/bgp/UpdateBgpPeerCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/storage/DownloadImageStoreObjectCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/volume/UnmanageVolumeCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/test/CreateSnapshotCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/test/UpdateConditionCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/user/network/routing/DeleteRoutingFirewallRuleCmdTest.java;server/src/main/java/com/cloud/api/dispatch/ParamProcessWorker.java		api/src/main/java/org/apache/cloudstack/api/BaseCmd.java;api/src/main/java/org/apache/cloudstack/context/CallContext.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/CreateIpv4SubnetForGuestNetworkCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/CreateIpv4SubnetForZoneCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/DedicateIpv4SubnetForZoneCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/DeleteIpv4SubnetForGuestNetworkCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/DeleteIpv4SubnetForZoneCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/ReleaseDedicatedIpv4SubnetForZoneCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/UpdateIpv4SubnetForZoneCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/bgp/ChangeBgpPeersForNetworkCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/bgp/ChangeBgpPeersForVpcCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/bgp/CreateBgpPeerCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/bgp/DedicateBgpPeerCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/bgp/DeleteBgpPeerCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/bgp/ReleaseDedicatedBgpPeerCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/network/bgp/UpdateBgpPeerCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/storage/DownloadImageStoreObjectCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/admin/volume/UnmanageVolumeCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/test/CreateSnapshotCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/test/UpdateConditionCmdTest.java;api/src/test/java/org/apache/cloudstack/api/command/user/network/routing/DeleteRoutingFirewallRuleCmdTest.java		d162c21ae8b2071173d5d691a0042cbd3007256f	FAIL					Source Review Required	Pending			S1 static evidence only; runtime tests not run	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/e2c13da419705bfd61b031142cbd46b69c5ccff4	기능 소유 이슈에서 patch/API/DB/테스트를 읽고 최종 판정.
8	089eb36e471c263ff1a90376cadaba7a595fc9e8	e2c13da419705bfd61b031142cbd46b69c5ccff4	2026-04-28T22:53:08-07:00	2026-04-29T11:23:08+05:30	commit	Linstor: fix create volume from snapshot on primary storage (#13043)	S5B	#994		plugins/storage/volume/linstor/src/main/java/org/apache/cloudstack/storage/datastore/driver/LinstorPrimaryDataStoreDriverImpl.java;plugins/storage/volume/linstor/src/test/java/org/apache/cloudstack/storage/datastore/driver/LinstorPrimaryDataStoreDriverImplTest.java				b3afc6b4d45d306f5abdfd2bd0498cb0c24ef6f4	FAIL					Source Review Required	Pending			S1 static evidence only; runtime tests not run	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/089eb36e471c263ff1a90376cadaba7a595fc9e8	기능 소유 이슈에서 patch/API/DB/테스트를 읽고 최종 판정.
9	a73cc9a22c09954c1631c36d2a11064764cc8355	089eb36e471c263ff1a90376cadaba7a595fc9e8	2026-04-29T21:09:13-03:00	2026-04-29T21:09:13-03:00	commit	Improve Quota Statement (#10506)	S4	#992		api/src/main/java/org/apache/cloudstack/api/ApiConstants.java;engine/schema/src/main/resources/META-INF/db/schema-42210to42300.sql;engine/schema/src/main/resources/META-INF/db/views/cloud_usage.quota_usage_view.sql;framework/db/src/main/java/com/cloud/utils/db/SearchCriteria.java;framework/quota/src/main/java/org/apache/cloudstack/quota/dao/QuotaTariffUsageDao.java;framework/quota/src/main/java/org/apache/cloudstack/quota/dao/QuotaTariffUsageDaoImpl.java;framework/quota/src/main/java/org/apache/cloudstack/quota/dao/QuotaUsageJoinDao.java;framework/quota/src/main/java/org/apache/cloudstack/quota/dao/QuotaUsageJoinDaoImpl.java;framework/quota/src/main/java/org/apache/cloudstack/quota/vo/QuotaTariffUsageVO.java;framework/quota/src/main/java/org/apache/cloudstack/quota/vo/QuotaUsageJoinVO.java;framework/quota/src/main/java/org/apache/cloudstack/quota/vo/QuotaUsageResourceVO.java;framework/quota/src/main/resources/META-INF/cloudstack/quota/spring-framework-quota-context.xml;plugins/database/quota/src/main/java/org/apache/cloudstack/api/command/QuotaStatementCmd.java;plugins/database/quota/src/main/java/org/apache/cloudstack/api/response/QuotaResponseBuilder.java;plugins/database/quota/src/main/java/org/apache/cloudstack/api/response/QuotaResponseBuilderImpl.java;plugins/database/quota/src/main/java/org/apache/cloudstack/api/response/QuotaStatementItemResourceResponse.java;plugins/database/quota/src/main/java/org/apache/cloudstack/api/response/QuotaStatementItemResponse.java;plugins/database/quota/src/main/java/org/apache/cloudstack/api/response/QuotaStatementResponse.java;plugins/database/quota/src/main/java/org/apache/cloudstack/quota/QuotaService.java;plugins/database/quota/src/main/java/org/apache/cloudstack/quota/QuotaServiceImpl.java;plugins/database/quota/src/test/java/org/apache/cloudstack/api/command/QuotaStatementCmdTest.java;plugins/database/quota/src/test/java/org/apache/cloudstack/api/response/QuotaResponseBuilderImplTest.java;plugins/database/quota/src/test/java/org/apache/cloudstack/quota/QuotaServiceImplTest.java	engine/schema/src/main/resources/META-INF/db/schema-42210to42300.sql;engine/schema/src/main/resources/META-INF/db/views/cloud_usage.quota_usage_view.sql	api/src/main/java/org/apache/cloudstack/api/ApiConstants.java		7bb9581ab53a9552741eb6ff32d51aba13d6bfa1	FAIL					Source Review Required	Pending			S1 static evidence only; runtime tests not run	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/a73cc9a22c09954c1631c36d2a11064764cc8355	신규 설치 및 동일 버전 Europa DB 재실행 게이트 필요.
10	c45596cca3ec5d3c98fd3bdc1fb3bca53a3352a1	a73cc9a22c09954c1631c36d2a11064764cc8355	2026-04-30T15:30:02+02:00	2026-04-30T10:30:02-03:00	commit	Refactor of Allocator classes (#9074)	S4	#992		api/src/main/java/com/cloud/agent/manager/allocator/HostAllocator.java;api/src/main/java/com/cloud/deploy/DeploymentPlanner.java;api/src/main/java/org/apache/cloudstack/api/command/admin/host/FindHostsForMigrationCmd.java;api/src/main/java/org/apache/cloudstack/api/command/admin/host/ListHostsCmd.java;client/pom.xml;engine/api/src/main/java/com/cloud/vm/VirtualMachineManager.java;engine/orchestration/src/main/java/com/cloud/vm/VirtualMachineManagerImpl.java;engine/schema/src/main/java/com/cloud/host/dao/HostDao.java;engine/schema/src/main/java/com/cloud/host/dao/HostDaoImpl.java;plugins/host-allocators/random/pom.xml;plugins/host-allocators/random/src/main/java/com/cloud/agent/manager/allocator/impl/RandomAllocator.java;plugins/host-allocators/random/src/main/resources/META-INF/cloudstack/host-allocator-random/module.properties;plugins/host-allocators/random/src/main/resources/META-INF/cloudstack/host-allocator-random/spring-host-allocator-random-context.xml;plugins/host-allocators/random/src/test/java/com/cloud/agent/manager/allocator/impl/RandomAllocatorTest.java;plugins/pom.xml;server/src/main/java/com/cloud/agent/manager/allocator/impl/BaseAllocator.java;server/src/main/java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java;server/src/main/java/com/cloud/agent/manager/allocator/impl/RandomAllocator.java;server/src/main/java/com/cloud/agent/manager/allocator/impl/TestingAllocator.java;server/src/main/java/com/cloud/deploy/DeploymentPlanningManagerImpl.java;server/src/main/java/com/cloud/server/ManagementServerImpl.java;server/src/main/resources/META-INF/cloudstack/server-allocator/spring-server-allocator-context.xml;server/src/test/java/com/cloud/agent/manager/allocator/impl/BaseAllocatorTest.java;server/src/test/java/com/cloud/agent/manager/allocator/impl/FirstFitAllocatorTest.java;server/src/test/java/com/cloud/agent/manager/allocator/impl/RandomAllocatorTest.java;test/integration/smoke/test_vm_strict_host_tags.py		api/src/main/java/com/cloud/agent/manager/allocator/HostAllocator.java;api/src/main/java/com/cloud/deploy/DeploymentPlanner.java;api/src/main/java/org/apache/cloudstack/api/command/admin/host/FindHostsForMigrationCmd.java;api/src/main/java/org/apache/cloudstack/api/command/admin/host/ListHostsCmd.java		310135c667c38bee91a2fcc430669ea4a1ed8871	FAIL					Source Review Required	Pending			S1 static evidence only; runtime tests not run	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/c45596cca3ec5d3c98fd3bdc1fb3bca53a3352a1	기능 소유 이슈에서 patch/API/DB/테스트를 읽고 최종 판정.
